date,pce,pop,psavert,uempmed,unemploy
1967-07-01,506.7,198712,12.6,4.5,2944
1967-08-01,509.8,198911,12.6,4.7,2945
1967-09-01,515.6,199113,11.9,4.6,2958
1967-10-01,512.2,199311,12.9,4.9,3143
1967-11-01,517.4,199498,12.8,4.7,3066
1967-12-01,525.1,199657,11.8,4.8,3018
1968-01-01,530.9,199808,11.7,5.1,2878
1968-02-01,533.6,199920,12.3,4.5,3001
1968-03-01,544.3,200056,11.7,4.1,2877
1968-04-01,544,200208,12.3,4.6,2709
1968-05-01,549.8,200361,12,4.4,2740
1968-06-01,556.3,200536,11.7,4.4,2938
1968-07-01,563.2,200706,10.7,4.5,2883
1968-08-01,567,200898,10.5,4.2,2768
1968-09-01,568.2,201095,10.6,4.6,2686
1968-10-01,571.6,201290,10.8,4.8,2689
1968-11-01,576.7,201466,10.6,4.4,2715
1968-12-01,576.5,201621,11.1,4.4,2685
1969-01-01,583.5,201760,10.3,4.4,2718
1969-02-01,588.7,201881,9.7,4.9,2692
1969-03-01,588.9,202023,10.2,4,2712
1969-04-01,593.9,202161,9.7,4,2758
1969-05-01,600.3,202331,10.1,4.2,2713
1969-06-01,600.9,202507,11.1,4.4,2816
1969-07-01,602.7,202677,11.8,4.4,2868
1969-08-01,609.9,202877,11.5,4.4,2856
1969-09-01,613.2,203090,11.6,4.7,3040
1969-10-01,618.5,203302,11.4,4.5,3049
1969-11-01,620.5,203500,11.6,4.8,2856
1969-12-01,622.8,203675,11.8,4.6,2884
1970-01-01,628.7,203849,11.8,4.6,3201
1970-02-01,634,204008,11.7,4.5,3453
1970-03-01,632.3,204156,12.4,4.6,3635
1970-04-01,636,204401,13.3,4.1,3797
1970-05-01,642.4,204607,12.4,4.7,3919
1970-06-01,646.3,204830,12.3,4.9,4071
1970-07-01,648.5,205052,13.5,5.1,4175
1970-08-01,652.9,205295,13.4,5.4,4256
1970-09-01,659.1,205540,12.9,5.2,4456
1970-10-01,658.3,205788,13.1,5.2,4591
1970-11-01,656.6,206024,13.6,5.6,4898
1970-12-01,665.6,206238,13.2,5.9,5076
1971-01-01,676.1,206466,13.3,6.2,4986
1971-02-01,679.4,206668,13.3,6.3,4903
1971-03-01,682,206855,13.5,6.4,4987
1971-04-01,688.8,207065,13.2,6.5,4959
1971-05-01,691.1,207260,13.6,6.7,4996
1971-06-01,699.8,207462,14.7,5.7,4949
1971-07-01,698.9,207661,13.8,6.2,5035
1971-08-01,704.9,207881,13.6,6.4,5134
1971-09-01,713,208114,13.3,5.8,5042
1971-10-01,715.8,208345,13.3,6.5,4954
1971-11-01,720.9,208555,13.1,6.4,5161
1971-12-01,728.4,208740,13,6.2,5154
1972-01-01,731.5,208917,12.5,6.2,5019
1972-02-01,736.2,209061,12.8,6.6,4928
1972-03-01,749.2,209212,11.8,6.6,5038
1972-04-01,752.5,209386,11.5,6.7,4959
1972-05-01,758,209545,11.7,6.6,4922
1972-06-01,761.6,209725,11.7,5.4,4923
1972-07-01,769.9,209896,11.7,6.1,4913
1972-08-01,776.3,210075,12,6,4939
1972-09-01,781.1,210278,12.2,5.6,4849
1972-10-01,794.9,210479,13,5.7,4875
1972-11-01,800.5,210656,13.6,5.7,4602
1972-12-01,806.1,210821,13.7,6.1,4543
1973-01-01,816.5,210985,12.4,5.7,4326
1973-02-01,825.8,211120,12.5,5.2,4452
1973-03-01,832.8,211254,12.7,5.5,4394
1973-04-01,835.7,211420,13.2,5,4459
1973-05-01,841.6,211577,13.2,4.9,4329
1973-06-01,844.3,211746,13.6,5,4363
