DATE,POP
1952-01-01,156309
1952-02-01,156527
1952-03-01,156731
1952-04-01,156943
1952-05-01,157140
1952-06-01,157343
1952-07-01,157553
1952-08-01,157798
1952-09-01,158053
1952-10-01,158306
1952-11-01,158451
1952-12-01,158757
1953-01-01,158973
1953-02-01,159170
1953-03-01,159349
1953-04-01,159556
1953-05-01,159745
1953-06-01,159956
1953-07-01,160184
1953-08-01,160449
1953-09-01,160718
1953-10-01,160978
1953-11-01,161223
1953-12-01,161453
1954-01-01,161690
1954-02-01,161912
1954-03-01,162124
1954-04-01,162350
1954-05-01,162564
1954-06-01,162790
1954-07-01,163026
1954-08-01,163290
1954-09-01,163570
1954-10-01,163847
1954-11-01,164107
1954-12-01,164349
1955-01-01,164588
1955-02-01,164809
1955-03-01,165018
1955-04-01,165251
1955-05-01,165463
1955-06-01,165695
1955-07-01,165931
1955-08-01,166192
1955-09-01,166473
1955-10-01,166755
1955-11-01,167023
1955-12-01,167270
1956-01-01,167513
1956-02-01,167746
1956-03-01,167977
1956-04-01,168221
1956-05-01,168436
1956-06-01,168659
1956-07-01,168903
1956-08-01,169191
1956-09-01,169488
1956-10-01,169780
1956-11-01,170063
1956-12-01,170315
1957-01-01,170571
1957-02-01,170806
1957-03-01,171029
1957-04-01,171271
1957-05-01,171501
1957-06-01,171741
1957-07-01,171984
1957-08-01,172257
1957-09-01,172538
1957-10-01,172816
1957-11-01,173070
1957-12-01,173298
1958-01-01,173533
1958-02-01,173746
1958-03-01,173945
1958-04-01,174176
1958-05-01,174397
1958-06-01,174639
1958-07-01,174882
1958-08-01,175143
1958-09-01,175413
1958-10-01,175697
1958-11-01,175966
1958-12-01,176207
1959-01-01,176447
1959-02-01,176685
1959-03-01,176905
1959-04-01,177146
1959-05-01,177365
1959-06-01,177591
1959-07-01,177830
1959-08-01,178101
1959-09-01,178376
1959-10-01,178657
1959-11-01,178921
1959-12-01,179153
1960-01-01,179386
1960-02-01,179597
1960-03-01,179788
1960-04-01,180007
1960-05-01,180222
1960-06-01,180444
1960-07-01,180671
1960-08-01,180945
1960-09-01,181238
1960-10-01,181528
1960-11-01,181796
1960-12-01,182042
1961-01-01,182287
1961-02-01,182520
1961-03-01,182742
1961-04-01,182992
1961-05-01,183217
1961-06-01,183452
1961-07-01,183691
1961-08-01,183958
1961-09-01,184243
1961-10-01,184524
1961-11-01,184783
1961-12-01,185016
1962-01-01,185242
1962-02-01,185452
1962-03-01,185650
1962-04-01,185874
1962-05-01,186087
1962-06-01,186314
1962-07-01,186538
1962-08-01,186790
1962-09-01,187058
1962-10-01,187323
1962-11-01,187574
1962-12-01,187796
1963-01-01,188013
1963-02-01,188213
1963-03-01,188387
1963-04-01,188580
1963-05-01,188790
1963-06-01,189018
1963-07-01,189242
1963-08-01,189496
1963-09-01,189761
1963-10-01,190028
1963-11-01,190265
1963-12-01,190472
1964-01-01,190668
1964-02-01,190858
1964-03-01,191047
1964-04-01,191245
1964-05-01,191447
1964-06-01,191666
1964-07-01,191889
1964-08-01,192131
1964-09-01,192376
1964-10-01,192631
1964-11-01,192847
1964-12-01,193039
1965-01-01,193223
1965-02-01,193393
1965-03-01,193540
1965-04-01,193709
1965-05-01,193888
1965-06-01,194087
1965-07-01,194303
1965-08-01,194528
1965-09-01,194761
1965-10-01,194997
1965-11-01,195195
1965-12-01,195372
1966-01-01,195539
1966-02-01,195688
1966-03-01,195831
1966-04-01,195999
1966-05-01,196178
1966-06-01,196372
1966-07-01,196560
1966-08-01,196762
1966-09-01,196984
1966-10-01,197207
1966-11-01,197398
1966-12-01,197572
1967-01-01,197736
1967-02-01,197892
1967-03-01,198037
1967-04-01,198206
1967-05-01,198363
1967-06-01,198537
1967-07-01,198712
1967-08-01,198911
1967-09-01,199113
1967-10-01,199311
1967-11-01,199498
1967-12-01,199657
1968-01-01,199808
1968-02-01,199920
1968-03-01,200056
1968-04-01,200208
