DATE,UNEMPLOY
1948-01-01,2034
1948-02-01,2328
1948-03-01,2399
1948-04-01,2386
1948-05-01,2118
1948-06-01,2214
1948-07-01,2213
1948-08-01,2350
1948-09-01,2302
1948-10-01,2259
1948-11-01,2285
1948-12-01,2429
1949-01-01,2596
1949-02-01,2849
1949-03-01,3030
1949-04-01,3260
1949-05-01,3707
1949-06-01,3776
1949-07-01,4111
1949-08-01,4193
1949-09-01,4049
1949-10-01,4916
1949-11-01,3996
1949-12-01,4063
1950-01-01,4026
1950-02-01,3936
1950-03-01,3876
1950-04-01,3575
1950-05-01,3434
1950-06-01,3367
1950-07-01,3120
1950-08-01,2799
1950-09-01,2774
1950-10-01,2625
1950-11-01,2589
1950-12-01,2639
1951-01-01,2305
1951-02-01,2117
1951-03-01,2125
1951-04-01,1919
1951-05-01,1856
1951-06-01,1995
1951-07-01,1950
1951-08-01,1933
1951-09-01,2067
1951-10-01,2194
1951-11-01,2178
1951-12-01,1960
1952-01-01,1972
1952-02-01,1957
1952-03-01,1813
1952-04-01,1811
1952-05-01,1863
1952-06-01,1884
1952-07-01,1991
1952-08-01,2087
1952-09-01,1936
1952-10-01,1839
1952-11-01,1743
1952-12-01,1667
1953-01-01,1839
1953-02-01,1636
1953-03-01,1647
1953-04-01,1723
1953-05-01,1596
1953-06-01,1607
1953-07-01,1660
1953-08-01,1665
1953-09-01,1821
1953-10-01,1974
1953-11-01,2211
1953-12-01,2818
1954-01-01,3077
1954-02-01,3331
1954-03-01,3607
1954-04-01,3749
1954-05-01,3767
1954-06-01,3551
1954-07-01,3659
1954-08-01,3854
1954-09-01,3927
1954-10-01,3666
1954-11-01,3402
1954-12-01,3196
1955-01-01,3157
1955-02-01,2969
1955-03-01,2918
1955-04-01,3049
1955-05-01,2747
1955-06-01,2701
1955-07-01,2632
1955-08-01,2784
1955-09-01,2678
1955-10-01,2830
1955-11-01,2780
1955-12-01,2761
1956-01-01,2666
1956-02-01,2606
1956-03-01,2764
1956-04-01,2650
1956-05-01,2861
1956-06-01,2882
1956-07-01,2952
1956-08-01,2701
1956-09-01,2635
1956-10-01,2571
1956-11-01,2861
1956-12-01,2790
1957-01-01,2796
1957-02-01,2622
1957-03-01,2509
1957-04-01,2600
1957-05-01,2710
1957-06-01,2856
1957-07-01,2796
1957-08-01,2747
1957-09-01,2943
1957-10-01,3020
1957-11-01,3454
1957-12-01,3476
1958-01-01,3875
1958-02-01,4303
1958-03-01,4492
1958-04-01,5016
1958-05-01,5021
1958-06-01,4944
1958-07-01,5079
1958-08-01,5025
1958-09-01,4821
1958-10-01,4570
1958-11-01,4188
1958-12-01,4191
1959-01-01,4068
1959-02-01,3965
1959-03-01,3801
1959-04-01,3571
1959-05-01,3479
1959-06-01,3429
1959-07-01,3528
1959-08-01,3588
1959-09-01,3775
1959-10-01,3910
1959-11-01,4003
1959-12-01,3653
1960-01-01,3615
1960-02-01,3329
1960-03-01,3726
1960-04-01,3620
1960-05-01,3569
1960-06-01,3766
1960-07-01,3836
1960-08-01,3946
1960-09-01,3884
1960-10-01,4252
1960-11-01,4330
1960-12-01,4617
1961-01-01,4671
1961-02-01,4832
1961-03-01,4853
1961-04-01,4893
1961-05-01,5003
1961-06-01,4885
1961-07-01,4928
1961-08-01,4682
1961-09-01,4676
1961-10-01,4573
1961-11-01,4295
1961-12-01,4177
1962-01-01,4081
1962-02-01,3871
1962-03-01,3921
1962-04-01,3906
1962-05-01,3863
1962-06-01,3844
1962-07-01,3819
1962-08-01,4013
1962-09-01,3961
1962-10-01,3803
1962-11-01,4024
1962-12-01,3907
1963-01-01,4074
1963-02-01,4238
1963-03-01,4072
1963-04-01,4055
1963-05-01,4217
1963-06-01,3977
1963-07-01,4051
1963-08-01,3878
1963-09-01,3957
1963-10-01,3987
1963-11-01,4151
1963-12-01,3975
1964-01-01,4029
1964-02-01,3932
1964-03-01,3950
1964-04-01,3918
1964-05-01,3764
1964-06-01,3814
1964-07-01,3608
1964-08-01,3655
1964-09-01,3712
1964-10-01,3726
1964-11-01,3551
1964-12-01,3651
1965-01-01,3572
1965-02-01,3730
1965-03-01,3510
1965-04-01,3595
1965-05-01,3432
1965-06-01,3387
1965-07-01,3301
1965-08-01,3254
1965-09-01,3216
1965-10-01,3143
1965-11-01,3073
1965-12-01,3031
1966-01-01,2988
1966-02-01,2820
1966-03-01,2887
1966-04-01,2828
1966-05-01,2950
1966-06-01,2872
1966-07-01,2876
