city,year,month,sales,volume,median,listings,inventory,date
Abilene,2000,1,72,5380000,71400,701,6.3,2000
Abilene,2000,2,98,6505000,58700,746,6.6,2000.08333333333
Abilene,2000,3,130,9285000,58100,784,6.8,2000.16666666667
Abilene,2000,4,98,9730000,68600,785,6.9,2000.25
Abilene,2000,5,141,10590000,67300,794,6.8,2000.33333333333
Abilene,2000,6,156,13910000,66900,780,6.6,2000.41666666667
Abilene,2000,7,152,12635000,73500,742,6.2,2000.5
Abilene,2000,8,131,10710000,75000,765,6.4,2000.58333333333
Abilene,2000,9,104,7615000,64500,771,6.5,2000.66666666667
Abilene,2000,10,101,7040000,59300,764,6.6,2000.75
Abilene,2000,11,100,7890000,70900,721,6.2,2000.83333333333
Abilene,2000,12,92,7285000,65000,658,5.7,2000.91666666667
Abilene,2001,1,75,5730000,64500,779,6.8,2001
Abilene,2001,2,112,8670000,68900,700,6,2001.08333333333
Abilene,2001,3,118,9550000,72300,738,6.4,2001.16666666667
Abilene,2001,4,105,8705000,71500,810,7,2001.25
Abilene,2001,5,150,11850000,71000,772,6.6,2001.33333333333
Abilene,2001,6,139,11290000,78100,825,7.2,2001.41666666667
Abilene,2001,7,134,13175000,86700,801,7.1,2001.5
Abilene,2001,8,151,11840000,69000,891,7.7,2001.58333333333
Abilene,2001,9,116,8395000,64200,849,7.3,2001.66666666667
Abilene,2001,10,121,9010000,64600,756,6.4,2001.75
Abilene,2001,11,116,8955000,69100,695,5.8,2001.83333333333
Abilene,2001,12,94,7195000,71800,620,5.2,2001.91666666667
Abilene,2002,1,94,6530000,64000,652,5.4,2002
Abilene,2002,2,94,6860000,62900,746,6.3,2002.08333333333
Abilene,2002,3,107,8385000,62100,774,6.5,2002.16666666667
Abilene,2002,4,135,10465000,66900,767,6.3,2002.25
Abilene,2002,5,154,11465000,69200,778,6.4,2002.33333333333
Abilene,2002,6,136,11600000,76700,758,6.3,2002.41666666667
Abilene,2002,7,159,13500000,73900,746,6.1,2002.5
Abilene,2002,8,155,12875000,82200,709,5.7,2002.58333333333
Abilene,2002,9,133,9965000,67300,703,5.6,2002.66666666667
Abilene,2002,10,134,10395000,73600,664,5.3,2002.75
Abilene,2002,11,107,8485000,59400,643,5.1,2002.83333333333
Abilene,2002,12,108,8150000,65000,649,5.1,2002.91666666667
Abilene,2003,1,68,5385000,70000,668,5.4,2003
Abilene,2003,2,110,8500000,72300,716,5.7,2003.08333333333
Abilene,2003,3,120,9445000,62300,765,6,2003.16666666667
Abilene,2003,4,125,11270000,79700,763,6.1,2003.25
Abilene,2003,5,142,12030000,79400,750,6,2003.33333333333
Abilene,2003,6,132,11545000,71400,777,6.2,2003.41666666667
Abilene,2003,7,171,13940000,75000,778,6.2,2003.5
Abilene,2003,8,193,16230000,78200,731,5.7,2003.58333333333
Abilene,2003,9,147,13350000,74300,730,5.6,2003.66666666667
Abilene,2003,10,142,11215000,67300,721,5.5,2003.75
Abilene,2003,11,129,10110000,66400,675,5.1,2003.83333333333
Abilene,2003,12,153,12655000,66900,640,4.7,2003.91666666667
Abilene,2004,1,97,6945000,66100,657,4.7,2004
Abilene,2004,2,119,9810000,70400,682,4.9,2004.08333333333
Abilene,2004,3,169,13635000,63900,668,4.7,2004.16666666667
Abilene,2004,4,171,14475000,68600,696,4.7,2004.25
Abilene,2004,5,159,13085000,71700,752,5.1,2004.33333333333
Abilene,2004,6,179,16255000,79600,720,4.7,2004.41666666667
Abilene,2004,7,176,16685000,82000,701,4.6,2004.5
Abilene,2004,8,190,19190000,91800,686,4.5,2004.58333333333
Abilene,2004,9,142,12325000,74700,677,4.4,2004.66666666667
Abilene,2004,10,144,12620000,81000,663,4.4,2004.75
Abilene,2004,11,138,12375000,77500,630,4.1,2004.83333333333
Abilene,2004,12,146,12270000,71100,600,3.9,2004.91666666667
Abilene,2005,1,119,10255000,74200,570,3.7,2005
Abilene,2005,2,130,11770000,74300,581,3.7,2005.08333333333
Abilene,2005,3,170,14470000,71300,661,4.3,2005.16666666667
Abilene,2005,4,171,16355000,80300,650,4.2,2005.25
Abilene,2005,5,176,18080000,87100,660,4.2,2005.33333333333
Abilene,2005,6,230,24050000,92500,664,4.1,2005.41666666667
Abilene,2005,7,177,18495000,93500,657,4.1,2005.5
Abilene,2005,8,216,24065000,97500,638,3.9,2005.58333333333
Abilene,2005,9,165,17145000,92800,644,3.9,2005.66666666667
Abilene,2005,10,161,16365000,92300,601,3.6,2005.75
Abilene,2005,11,137,13390000,92800,496,3,2005.83333333333
Abilene,2005,12,125,14415000,102500,522,3.2,2005.91666666667
Abilene,2006,1,107,11890000,90800,559,3.4,2006
Abilene,2006,2,152,16875000,98200,561,3.4,2006.08333333333
Abilene,2006,3,155,18030000,105400,NA,NA,2006.16666666667
Abilene,2006,4,172,17955000,1e+05,683,4.2,2006.25
Abilene,2006,5,179,20400000,103000,736,4.5,2006.33333333333
Abilene,2006,6,225,26620000,99800,786,4.8,2006.41666666667
Abilene,2006,7,169,19160000,93200,804,4.9,2006.5
Abilene,2006,8,220,25735000,104000,812,5,2006.58333333333
Abilene,2006,9,159,19850000,109500,817,5,2006.66666666667
Abilene,2006,10,156,17100000,97100,797,4.9,2006.75
Abilene,2006,11,146,15930000,99400,792,4.8,2006.83333333333
Abilene,2006,12,157,17985000,103100,724,4.4,2006.91666666667
Abilene,2007,1,132,13335000,91700,746,4.4,2007
Abilene,2007,2,140,16105000,1e+05,774,4.6,2007.08333333333
Abilene,2007,3,212,20410000,86500,816,4.7,2007.16666666667
Abilene,2007,4,192,20090000,89100,807,4.6,2007.25
Abilene,2007,5,213,24410000,99500,849,4.8,2007.33333333333
Abilene,2007,6,212,27605000,121200,872,5,2007.41666666667
Abilene,2007,7,239,29315000,114300,940,5.2,2007.5
Abilene,2007,8,196,25015000,113700,948,5.3,2007.58333333333
Abilene,2007,9,127,16588549,111500,932,5.3,2007.66666666667
Abilene,2007,10,134,16036403,110700,932,5.3,2007.75
Abilene,2007,11,107,12017671,102600,892,5.2,2007.83333333333
Abilene,2007,12,99,11134962,103000,856,5.1,2007.91666666667
Abilene,2008,1,84,9089942,88800,859,5.3,2008
Abilene,2008,2,127,15970270,111900,899,5.6,2008.08333333333
Abilene,2008,3,147,15496685,97500,923,5.9,2008.16666666667
Abilene,2008,4,161,18288157,106900,941,6.1,2008.25
Abilene,2008,5,182,21314933,104000,951,6.3,2008.33333333333
Abilene,2008,6,180,21146068,110400,1000,6.7,2008.41666666667
Abilene,2008,7,171,19502253,106400,1013,7.1,2008.5
Abilene,2008,8,131,16067354,111200,966,7,2008.58333333333
Abilene,2008,9,141,15643014,106900,992,7.2,2008.66666666667
Abilene,2008,10,116,15057270,131600,860,6.3,2008.75
Abilene,2008,11,94,10792418,1e+05,863,6.3,2008.83333333333
Abilene,2008,12,117,14151971,110000,821,6,2008.91666666667
Abilene,2009,1,70,8414801,92900,861,6.3,2009
Abilene,2009,2,106,10921111,95700,869,6.5,2009.08333333333
Abilene,2009,3,131,15148755,106400,891,6.7,2009.16666666667
Abilene,2009,4,157,19565825,113800,890,6.7,2009.25
Abilene,2009,5,143,16596602,105500,911,7,2009.33333333333
Abilene,2009,6,187,25342963,119300,802,6.2,2009.41666666667
Abilene,2009,7,158,21925623,126200,808,6.3,2009.5
Abilene,2009,8,149,17827080,106900,785,6,2009.58333333333
Abilene,2009,9,128,16222840,111200,745,5.7,2009.66666666667
Abilene,2009,10,151,18076723,96800,734,5.5,2009.75
Abilene,2009,11,130,16724086,114300,737,5.4,2009.83333333333
Abilene,2009,12,124,15591347,111400,705,5.2,2009.91666666667
Abilene,2010,1,73,9130783,112200,868,6.4,2010
Abilene,2010,2,93,10372904,98300,830,6.1,2010.08333333333
Abilene,2010,3,133,16517713,114000,854,6.3,2010.16666666667
Abilene,2010,4,161,18788002,103600,859,6.3,2010.25
Abilene,2010,5,200,22804393,99300,914,6.5,2010.33333333333
Abilene,2010,6,169,23216943,127900,932,6.7,2010.41666666667
Abilene,2010,7,159,22363123,127300,915,6.6,2010.5
Abilene,2010,8,144,17504580,122000,936,6.7,2010.58333333333
Abilene,2010,9,116,15475763,121300,899,6.5,2010.66666666667
Abilene,2010,10,111,14570529,111900,863,6.4,2010.75
Abilene,2010,11,115,11422741,87900,851,6.4,2010.83333333333
Abilene,2010,12,116,15289470,118300,830,6.3,2010.91666666667
Abilene,2011,1,68,8834493,123300,809,6.1,2011
Abilene,2011,2,85,10250107,111200,822,6.3,2011.08333333333
Abilene,2011,3,131,16047423,110000,857,6.5,2011.16666666667
Abilene,2011,4,148,17453429,112000,855,6.6,2011.25
Abilene,2011,5,181,22374531,115300,863,6.7,2011.33333333333
Abilene,2011,6,213,26635498,105400,840,6.4,2011.41666666667
Abilene,2011,7,172,22734236,117900,848,6.4,2011.5
Abilene,2011,8,184,22066503,99000,795,5.8,2011.58333333333
Abilene,2011,9,138,19329727,121400,763,5.5,2011.66666666667
Abilene,2011,10,146,18916970,111100,743,5.3,2011.75
Abilene,2011,11,125,17679449,127300,712,5,2011.83333333333
Abilene,2011,12,128,17843463,120000,693,4.8,2011.91666666667
Abilene,2012,1,95,11371474,105600,703,4.8,2012
Abilene,2012,2,142,16905161,102000,720,4.8,2012.08333333333
Abilene,2012,3,172,20922281,112000,723,4.7,2012.16666666667
Abilene,2012,4,170,20909533,104400,722,4.6,2012.25
Abilene,2012,5,211,28521200,111600,1125,7.1,2012.33333333333
Abilene,2012,6,188,25629200,120000,1176,7.5,2012.41666666667
Abilene,2012,7,183,26033906,127500,1176,7.5,2012.5
Abilene,2012,8,220,31687638,130600,1132,7.1,2012.58333333333
Abilene,2012,9,146,19821491,123200,1095,6.8,2012.66666666667
Abilene,2012,10,191,24016275,103200,1075,6.5,2012.75
Abilene,2012,11,142,19753059,125900,1036,6.3,2012.83333333333
Abilene,2012,12,156,19985676,106200,952,5.7,2012.91666666667
Abilene,2013,1,114,15794494,125300,966,5.7,2013
Abilene,2013,2,140,16552641,94400,943,5.6,2013.08333333333
Abilene,2013,3,164,19609711,102500,958,5.7,2013.16666666667
Abilene,2013,4,213,27261796,113700,948,5.5,2013.25
Abilene,2013,5,225,31901380,130000,923,5.3,2013.33333333333
Abilene,2013,6,209,29454125,127300,960,5.5,2013.41666666667
Abilene,2013,7,218,32547446,140000,969,5.4,2013.5
Abilene,2013,8,236,30777727,120000,976,5.4,2013.58333333333
